product_id,discount_rate,start_date,end_date
1,0.10,2024-01-01,2024-01-31
2,0.15,2024-01-01,2024-01-31
3,0.05,2024-03-01,2024-03-31
4,0.20,2024-06-01,2024-06-30
5,0.10,2024-09-01,2024-09-30
6,0.25,2024-08-01,2024-08-31
7,0.30,2024-11-23,2024-11-30
8,0.20,2024-11-27,2024-11-28
9,0.10,2024-02-01,2024-02-14
10,0.15,2024-02-15,2024-02-20
11,0.05,2024-04-01,2024-04-15
12,0.10,2024-05-01,2024-05-10
13,0.15,2024-06-10,2024-06-20
14,0.10,2024-07-01,2024-07-07
15,0.20,2024-10-15,2024-10-31
16,0.25,2024-11-20,2024-11-27
17,0.30,2024-12-01,2024-12-25
18,0.20,2024-01-01,2024-01-31
19,0.15,2024-05-15,2024-05-20
20,0.20,2024-09-15,2024-09-30
